file_output,description,warning,sent
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/20. Dica do Professor - Como utilizar uma Biblioteca Matemática pronta em Kotlin.mp4,"#F19 20. Dica do Professor - Como utilizar uma Biblioteca Matemática pronta em Kotlin

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/21. Aula 09 - Visão geral sobre os Tipos de Dados disponíveis em Kotlin.mp4,"#F20 21. Aula 09 - Visão geral sobre os Tipos de Dados disponíveis em Kotlin

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/22. Aula 10 - Declarando Char e String.mp4,"#F21 22. Aula 10 - Declarando Char e String

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/23. Aula 11 - Métodos úteis para uso com Strings.mp4,"#F22 23. Aula 11 - Métodos úteis para uso com Strings

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/24. Aula 12 - Declarando Byte Int Short Long.mp4,"#F23 24. Aula 12 - Declarando Byte Int Short Long

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/25. Aula 13 - Declarando Float Double.mp4,"#F24 25. Aula 13 - Declarando Float Double

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/26. Dica do Professor - Formatação da dados numéricos em Kotlin..mp4,"#F25 26. Dica do Professor - Formatação da dados numéricos em Kotlin.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/27. Exercício de programação em Kotlin - Calcular a área de um Triângulo.mp4,"#F26 27. Exercício de programação em Kotlin - Calcular a área de um Triângulo

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/28. Exercício de programação em Kotlin - Cálculo da média ponderada.mp4,"#F27 28. Exercício de programação em Kotlin - Cálculo da média ponderada

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
"/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/29. Exercício de programação em Kotlin - Converter pés em polegadas, jardas e milhas.mp4","#F28 29. Exercício de programação em Kotlin - Converter pés em polegadas, jardas e milhas

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/30. Aula 14 - Tipos de Operadores Aritméticos.mp4,"#F29 30. Aula 14 - Tipos de Operadores Aritméticos

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/31. Aula 15 - Tipos de Operadores Relacionais ou Comparativos.mp4,"#F30 31. Aula 15 - Tipos de Operadores Relacionais ou Comparativos

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/32. Aula 16 - Tipos de Operadores Lógicos.mp4,"#F31 32. Aula 16 - Tipos de Operadores Lógicos

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/33. Dica do Professor - Tabela verdade para operadores Lógicos AND OR e NOT &&  !=.mp4,"#F32 33. Dica do Professor - Tabela verdade para operadores Lógicos AND OR e NOT &&  !=

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/34.  Aula 17 - Fundamentos sobre Controle de Fluxo de Execução..mp4,"#F33 34.  Aula 17 - Fundamentos sobre Controle de Fluxo de Execução.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/35.  Aula 18 - Controlando Fluxos com expressão IF.mp4,"#F34 35.  Aula 18 - Controlando Fluxos com expressão IF

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/36.  Aula 20 - Controlando Fluxos com IF ELSE IF.mp4,"#F35 36.  Aula 20 - Controlando Fluxos com IF ELSE IF

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
