duration,duration_seconds,file_size,format_name,total_bitrate,video_bitrate,video_codec,audio_codec,is_avc,video_profile,video_resolution_height,video_resolution_width,path_file,file_path_folder,file_name,resolution,video_resolution_to_change,subfolder_n1
00:15:16.28,916.282993,330143082,"mov,mp4,m4a,3gp,3g2,mj2",2882455,2745819,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/12. Aula 06 -3º Programa Kotlin  Como calcular quantos anos de vida uma pessoa tem.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,12. Aula 06 -3º Programa Kotlin  Como calcular quantos anos de vida uma pessoa tem.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:16:57.75,1017.753991,334141185,"mov,mp4,m4a,3gp,3g2,mj2",2626498,2489876,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/13. Aula 06 -3º Programa Kotlin  Boas práticas de programação melhorando o projeto..mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,13. Aula 06 -3º Programa Kotlin  Boas práticas de programação melhorando o projeto..mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:05:28.50,328.5,74097745,"mov,mp4,m4a,3gp,3g2,mj2",1804511,1667805,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/14. Dica do Professor - Kotlin REPL.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,14. Dica do Professor - Kotlin REPL.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:03:48.60,228.6,66994402,"mov,mp4,m4a,3gp,3g2,mj2",2344511,2207766,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/16. Convite especial do Professor - Participe da Comunidade dos Alunos do Curso..mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,16. Convite especial do Professor - Participe da Comunidade dos Alunos do Curso..mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:07:26.10,446.101995,124862984,"mov,mp4,m4a,3gp,3g2,mj2",2239182,2102484,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/17. Aula 07 - Tipos de variáveis possíveis em Kotlin  val var const val.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,17. Aula 07 - Tipos de variáveis possíveis em Kotlin  val var const val.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:09:58.40,598.400998,210903734,"mov,mp4,m4a,3gp,3g2,mj2",2819563,2682869,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/18. Aula 08 - 4º Programa Kotlin  Cálculo do raio do círculo  val var const val.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,18. Aula 08 - 4º Programa Kotlin  Cálculo do raio do círculo  val var const val.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:06:36.34,396.340998,100113244,"mov,mp4,m4a,3gp,3g2,mj2",2020749,1883869,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/19. Dica do Professor - Como implementar a entrada de dados via teclado em Kotlin.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,19. Dica do Professor - Como implementar a entrada de dados via teclado em Kotlin.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:07:40.40,460.405011,160661378,"mov,mp4,m4a,3gp,3g2,mj2",2791652,2654820,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/20. Dica do Professor - Como utilizar uma Biblioteca Matemática pronta em Kotlin.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,20. Dica do Professor - Como utilizar uma Biblioteca Matemática pronta em Kotlin.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:13:01.37,781.375011,202032432,"mov,mp4,m4a,3gp,3g2,mj2",2068481,1931706,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/21. Aula 09 - Visão geral sobre os Tipos de Dados disponíveis em Kotlin.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,21. Aula 09 - Visão geral sobre os Tipos de Dados disponíveis em Kotlin.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:08:58.30,538.3,159192222,"mov,mp4,m4a,3gp,3g2,mj2",2365851,2229000,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/22. Aula 10 - Declarando Char e String.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,22. Aula 10 - Declarando Char e String.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
